The beginning cost was: 1995.868216
The final cost was: 991.409919
Total number of iterations before arriving at result: 2456
The broken down matrix:
 First matrix=
3.767195	5.298127	1.978976	4.702914	4.288220	
2.454462	6.059699	3.521701	2.761333	4.754222	
3.989239	4.168994	4.266611	5.981423	1.205008	
3.567700	5.443802	1.160347	5.161932	4.476349	
6.092154	2.527941	2.859953	4.362534	3.598362	
0.000000	4.453248	6.590144	4.588112	4.442053	
4.525165	0.000000	7.968999	4.143823	2.441973	
4.637509	5.968100	0.000000	5.430642	3.931749	
4.394867	5.791657	4.180910	0.000000	4.798754	
5.263293	4.050986	6.371479	3.694842	0.000000	
3.350978	3.493678	5.512069	2.520222	4.800255	
2.837315	4.291376	2.842667	5.260575	4.195733	
4.663195	5.739286	3.028818	4.408945	1.781698	
1.951993	4.498684	4.336537	4.777133	4.550650	
5.091876	4.115215	5.039211	3.558693	2.104563	
5.325063	3.658951	4.673361	1.500452	3.808440	
3.037717	3.416328	3.006807	6.223684	3.591915	
3.431573	3.420649	4.205721	4.008737	4.449382	
3.919673	4.180409	1.293195	4.829766	5.569027	
3.937521	0.773240	4.494226	4.991574	5.004331	
5.115235	3.108684	3.852849	1.793983	5.450921	
3.227222	3.702754	5.394316	4.399307	3.604600	
4.422240	3.391796	4.481967	5.809888	1.579522	
3.468561	3.235693	2.301457	6.432710	5.247648	
3.786345	3.005981	5.622747	4.410084	2.621275	
3.748044	0.405322	5.009004	4.185182	6.257862	
3.974346	3.899550	1.486795	7.643957	2.241124	
2.708135	5.065426	2.683424	4.441046	4.979023	
7.584501	4.708385	3.795760	2.357679	2.158419	
3.107288	5.496386	2.825460	3.188854	4.972838	
5.462005	4.335369	4.627159	2.135990	3.550485	
2.965577	2.538185	4.699737	3.555765	5.520976	
3.887402	4.370723	3.848770	3.533583	3.832131	
4.286484	5.385393	2.929888	3.020512	4.009250	
4.285239	3.977780	2.556174	2.449452	5.712126	
3.829770	4.108839	2.269408	2.463245	6.453931	
4.810157	4.965723	4.022076	3.876125	2.041572	
3.845870	3.424512	3.740596	5.359090	3.594481	
5.328962	3.734462	3.353104	4.381203	2.723556	
1.828915	4.567219	3.732438	5.566125	4.229297	
4.434828	7.427438	2.700810	2.633170	2.882562	
3.862477	2.989635	4.218891	2.310888	6.172196	
3.950158	3.829408	2.019861	6.168870	3.640752	
2.563553	4.347056	6.069602	3.909449	2.532514	
3.680116	2.805403	4.885248	4.885544	3.307826	
4.313855	6.773161	3.162857	1.893036	3.447675	
6.360545	2.552180	2.737573	6.173971	1.670820	
6.767577	3.230618	3.327255	3.421127	2.831360	
3.046736	2.767795	5.832596	1.075311	7.182819	
1.927240	1.508656	4.517994	6.037916	6.351767	
4.908699	2.164292	2.451884	4.141078	6.266391	
3.329142	2.690734	5.972867	3.487795	4.210415	
5.848949	4.224259	3.704916	3.057391	2.651781	
5.510476	3.267088	3.882948	2.699958	4.886265	
3.354691	3.576646	3.258934	6.047848	3.552082	
4.147888	2.491573	3.078756	2.983847	6.466940	
1.622061	3.733299	6.126485	3.608289	4.643378	
2.646757	4.517678	1.802821	5.515127	5.149110	
5.261992	3.403267	4.308781	1.381803	4.960653	
1.593941	6.070172	1.477668	6.084260	4.242680	
3.084250	5.312594	2.162463	6.187185	3.602694	
2.246561	4.150278	4.955984	5.058790	3.672177	
5.551944	4.613563	3.633443	3.474245	3.203062	
5.542409	1.164786	3.845667	2.515440	6.781107	
3.999434	1.636119	7.762062	4.247407	2.241576	
6.650584	2.445953	4.362555	3.844351	1.719213	
2.064976	5.396043	4.545120	3.713673	4.330537	
4.375275	5.703412	3.359402	4.995000	1.100949	
4.087012	3.829683	4.170251	3.488463	4.512679	
3.112420	3.863755	4.311533	5.207718	3.474262	
5.325624	2.654344	4.073911	3.986258	4.178682	
4.879657	3.747886	3.307490	2.313693	5.212353	
2.878986	4.055374	5.108601	3.442336	4.348524	
5.170334	5.032640	2.932456	2.762027	4.507871	
2.071819	4.989786	1.409027	5.215797	5.531412	
3.270420	3.494049	2.987093	4.900015	5.382400	
4.640426	3.875071	2.396229	4.792239	4.016127	
6.444598	3.771878	3.629883	4.527141	1.088296	
2.873930	5.683179	3.303411	3.091907	4.942352	
3.538447	3.775187	6.632467	4.257534	1.646004	
5.883595	2.045910	5.955708	3.770404	1.486034	
3.457797	3.696390	3.830902	5.339409	3.984857	
5.762380	2.724354	5.569792	1.826948	3.110789	
4.223801	3.877560	2.682265	5.487505	3.974037	
6.841129	3.776905	1.121602	3.849453	4.063838	
6.047462	3.832476	5.285710	1.561400	2.938938	
3.665758	5.217903	4.832553	5.178880	0.768569	
3.026296	4.888809	3.638729	4.000530	4.271964	
2.894015	4.634689	6.007342	2.754157	3.070201	
5.151476	6.861420	1.027740	1.425744	5.249506	
4.493735	4.160693	2.624846	3.419406	5.270307	
3.507995	2.151413	5.049611	7.928489	1.089168	
4.287346	3.290726	2.092468	5.404364	4.992381	
3.390358	3.542545	1.889709	7.443426	4.011573	
5.336894	3.686346	5.464030	2.336940	3.210471	
2.964248	5.865774	4.668577	3.449412	2.357058	
4.446768	3.484582	1.713137	3.949246	6.051770	
3.380354	1.791459	1.878105	6.931268	5.654741	
3.406994	3.543896	4.003673	2.423220	6.413970	
4.740303	4.592211	0.990484	2.100390	7.220075	
